,result,score,target
0,NEGATIVE,0.08497555553913116,VLADIMIR Putin's gymnast lover has not been seen in public for three weeks following wild rumours the Russian president died.
1,POSITIVE,0.7095581293106079,"As Russia's so-called ""First Mistress"", Alina Kabaeva, 40, lives a continuous life of glamour and mystery but has allegedly spent recent months holed up inside Putin's secret forest palace."
2,POSITIVE,0.7582104802131653,"Since 2008, the brunette bombshell has been the target of sustained speculation that she is Putin's secret lover and the mother of his youngest kids."
3,NEGATIVE,0.08916249126195908,The gymnast-turned-politician is now rumoured to be missing in the wake of last month's bizarre reports Putin had croaked.
4,NEGATIVE,0.05867310240864754,Public appearances by the despot's young mistress halted in the last week of October - the same day the rumours broke that Putin had suffered a heart attack.
5,NEGATIVE,0.16408689320087433,The woman that has never shied from the spotlight appears to have gone to ground.
6,POSITIVE,0.8424933552742004,FIRST MISTRESS? Mystery of Putin's vanishing gymnast 'mistress' after 'having his kids'
7,NEGATIVE,0.11689574271440506,"Since the claims of Putin's death - largely dismissed as conspiracy theories by analysts - swirled online, Alina completely disappeared from view."
8,NEGATIVE,0.21305738389492035,Confirmed sightings of her then completely stopped on October 22 after an international tournament held at her academy.
9,NEUTRAL,0.4915724992752075,Although she has previously had long absences from public life - she disappeared the same day that rumours of her alleged partner's death began spreading.
10,NEGATIVE,0.12671545147895813,"Claims first surfaced on the Telegram channel, General SVR, that the Russian leader had died at his Valdai palace, just north of Moscow, where Alina is alleged to live with their shared children."
11,POSITIVE,0.7164722681045532,"The same channel, which claims to receive insider knowledge from Putin’s circle, says Putin's body doubles are now being coached in what to say and how to behave."
12,NEUTRAL,0.606154203414917,Several Russian and Ukrainian sources also allege that body doubles controlled by his senior apparatchiks and security henchmen are now parading around the Kremlin.
13,NEGATIVE,0.1905035823583603,"At the end of October, the Kremlin was forced to issue an extraordinary denial that their leader was dead, while Kyiv argued it was a purposeful test of his popularity."
14,NEUTRAL,0.5106372237205505,"According to General SVR, Putin’s corpse remains in a freezer at Valdai palace, while Kremlin crooks discuss whether to run his doppelganger at next year's election."
15,NEUTRAL,0.4128304123878479,"The channel claimed today: “In the coming days, special equipment will be delivered to the presidential residence in Valdai, in which, according to experts, Putin’s corpse can be stored for a long time."""
16,POSITIVE,0.8372154235839844,"Alina, who is 31 years younger than Putin, shot to fame as ""Russia's most flexible woman"" after picking up hoards of international medals for gymnastics in her teens."
17,NEUTRAL,0.4547070264816284,She went on to win Gold at the 2004 Athens Games and Bronze at the 2000 in Sydney.
18,POSITIVE,0.7930698990821838,"The now 40-year-old is one of most decorated gymnasts in history, with 2 Olympic medals, 14 World Championship medals, and 21 European Championship medals."
19,NEGATIVE,0.3959577977657318,She would later lose six of her World Championship medals for doping.
20,NEUTRAL,0.6962736248970032,Her celebrity status was fully secured after she posed naked for a men's magazine in 2004.
21,NEUTRAL,0.6250513792037964,"In heavy makeup and partially draped in fur, the nude sporting star smiled provocatively at the camera."
22,NEGATIVE,0.11558245867490768,"After retiring from gymnastics, Alina threw herself into a quickly-developed career in politics."
23,POSITIVE,0.8382583260536194,"She became a member of the Russian Parliament between 2007 and 2014, representing the United Russia party and voting for various controversial anti-LGBT laws."
24,POSITIVE,0.8929234743118286,It was quite the career move for a woman who had dabbled in modelling and singing.
25,POSITIVE,0.8823767304420471,"The Olympic legend was later appointed chair of Moscow’s most important pro-Kremlin TV and newspaper empire, National Media Group — despite having no experience."
26,NEUTRAL,0.5433281064033508,'IDEAL MAN'
27,POSITIVE,0.952978789806366,The brunette stunner was first linked to Putin in 2008 after a report in a Moscow newspaper run by media tycoon and former KGB spy Alexander Lebedev.
28,NEUTRAL,0.5083679556846619,"The despot was still married to his first wife at the time, Lyudmila Putina, whom he later divorced in 2014."
29,NEGATIVE,0.28139665722846985,Putin quickly denied the claims and slammed “those who with their snotty noses and erotic fantasies prowl into others’ lives”.
30,POSITIVE,0.7049171328544617,"Around that time they first met, Alina admitted on a kids TV show that she had found her ""ideal man""."
31,POSITIVE,0.7405620217323303,"And without naming the Russian leader, Alina replied giggling: “I have met him"" and added that she was “so happy”."
32,NEUTRAL,0.4233909547328949,"However, their alleged 15-year relationship has never been publicly acknowledged and Russian state media bans any mention of links between the two."
33,POSITIVE,0.8540891408920288,'RUSSIA'S FIRST MISTRESS'
34,POSITIVE,0.8753137588500977,"Throughout the years, it appears that Putin's presumed lover has somewhat relished her role as ""the uncrowned queen of Russia"" - or at least enjoyed the gossip behind it."
35,NEUTRAL,0.6013484597206116,"While Putin was still married to his first wife and speculation was rife of an affair, Alina appeared at 2014 Winter Olympics in Sochi wearing a wedding ring."
36,POSITIVE,0.8873772621154785,"And by 2015, Alina already seemed to be living the life of a First Lady."
37,POSITIVE,0.8216592073440552,"She was rumoured to have a fleet of limousines at her disposal — and during a visit to a Moscow cafe, a squad of machine gun-toting ­security guards accompanied her."
38,NEUTRAL,0.4421860873699188,"In 2016, Kabaeva appeared in public again wearing a ring on her ring finger."
39,NEUTRAL,0.5770426392555237,"In February 2017, Alina appeared to be showing off the ring at a gymnastics tournament, while rumours also swirled that she was hiding a baby bump."
40,NEGATIVE,0.310848593711853,A Russian newspaper then reported that the pair were engaged - but the story was denied and the paper was shut down by Kremlin authorities.
41,POSITIVE,0.861579954624176,"For years, Putin's supposed mistress enjoyed a life of luxury living in a mansion in Switzerland overlooking Lake Geneva bought for her and her children by the tyrant."
42,NEUTRAL,0.4376209080219269,"But since Russia's brutal and bloody invasion of Ukraine, Putin allegedly moved Alina and the kids into his heavily-guarded and gold-encrusted Valdai palace."
43,NEUTRAL,0.4625452756881714,"Unnamed officials claimed they had spotted kids on the premises of the luxurious mansion and satellite images taken between 2016 and 2020 showed a playground in the woods, which is believed to have been built for the family."
44,NEGATIVE,0.32038867473602295,Rumours also briefly circulated that she had been shipped off to a nuclear bunker in Siberia for her protection.
45,NEUTRAL,0.672498881816864,"Instead, she defied sanctions to wear a £2,000 British-designed dress as she hosted a Z-symbol parade in support of Russia's invasion of Ukraine in April 2022."
46,POSITIVE,0.7547942996025085,"Then the glamorous former gymnast mostly vanished until June 2022, when she was pictured flanked by female bodyguards in St Petersburg."
47,NEUTRAL,0.4066304564476013,"Carrying a £4,220 Valentino Roman stud large bag, her security kept tightly around her amid ongoing rumours she was pregnant."
48,NEUTRAL,0.4122138023376465,"In March, a doctor was identified for the first time as the medical professional who had been with Alina as she gave birth to at least two of Putin's children, Russian investigative outlet Proekt claimed."
49,NEUTRAL,0.5952025055885315,The intensely private and paranoid Putin could likely be the driving force behind Alina's disappearance from public view.
50,NEUTRAL,0.4272407591342926,"In March, a Kremlin insider claimed that a furious Putin blamed his lover's gossipy friends for leaking details of their plush lifestyle."
51,POSITIVE,0.9752424955368042,It followed an exposé of his secret life with Alina being exposed by the Russian investigative site The Project who discussed their life together in his secret palace on the shores of Lake Valdai.
52,POSITIVE,0.8229239583015442,The outlet claimed he bought her a property empire valued at £100million using a slush fund in Cyprus.
53,NEUTRAL,0.5687245726585388,"Telegram channel General SVR alleged that the revelations sparked a ""furious"" row between him and his mistress."
54,NEUTRAL,0.6098904013633728,"It claimed: ""Putin said that he had 100 per cent information that the leak came from Kabaeva’s circle of friends."
55,NEUTRAL,0.6626328825950623,"""They say that no one has ever seen the president so furious."""
56,NEUTRAL,0.645567774772644,"In the days that followed, more claims emerged that Putin had introduced a vast no-go zone around Valdai palace - locking his alleged girlfriend further away from public life."
57,POSITIVE,0.7832450866699219,The vast new exclusion zone - larger than the Isle of Wight and the Mediterranean island of Malta - was enforced around the luxury residence.
58,NEUTRAL,0.4246756434440613,"Guarded by a federal security service, trespassers on the complex and exclusion zone face two years ""correctional labour"" and fines of up to £5,300."
59,NEGATIVE,0.3849210739135742,"A Moscow source previously told The Sun: “Putin is an intensely private man - he has been hiding his two adult daughters under fake IDs for years. Even now, though he talks about them occasionally, he never names them."
60,POSITIVE,0.7306624054908752,"“If Alina gave birth to his children, her hiding away might be one of the strongest hints pointing to this."
61,NEUTRAL,0.5353546142578125,"In the meantime, the fate of Putin's alleged longest-running mistress remains unknown."
62,POSITIVE,0.8842374086380005,The babywear brand was initially a blanket business that Conor grew into a bear-themed clothing brand.
63,POSITIVE,0.9077443480491638,The entrepreneur invested £5k of personal savings to purchase the first order of blankets.
64,NEGATIVE,0.3564763367176056,He stored all of the stock in his mum’s conservatory and was sending out an average of one to two orders a week.
65,NEUTRAL,0.6957620978355408,Conor used the lockdown as an opportunity to “pour all of his effort and attention” into Cozy Crew Club.
66,POSITIVE,0.7784358859062195,"The brand was particularly important to him as a member of the LGBT community, as he grew up wondering if he’ll “ever be able to have children”, so decided to make Cozy Crew Club his “baby”."
67,NEUTRAL,0.4458414316177368,"“We automatically had a huge growth spurt,” Conor says. “Within 24 hours of one share, we grew by 10k followers."
68,NEUTRAL,0.696323037147522,"“We’ve had so much exposure from Molly-Mae,” Conor says. “One thing we really pride ourselves on is the quality of our products, and I think that’s why influencers share them."
69,NEUTRAL,0.6973646879196167,"“I’ve never paid for any collaborations because I truly believe our products, branding and message we have for mums is so strong."
