,result,score,target
0,NEGATIVE,0.11789420247077942,ISRAEL has confirmed the death of a soldier being held hostage by Hamas after the terrorists released a video which they claimed showed her lifeless body.
1,POSITIVE,0.70811527967453,"Cpl. Noa Marciano, 19, of the IDF's Combat Intelligence Collection Corps 414th was captured by the Hamas brutes on October 7."
2,NEUTRAL,0.6238054037094116,The teenager was serving in the Nahal Oz base when it was overrun by terrorists.
3,NEGATIVE,0.3407360911369324,Hamas yesterday released footage of the soldier speaking to the camera four days after she was taken hostage.
4,NEUTRAL,0.5467677712440491,She identified herself and confirmed she was being held captive in the besieged Palestinian enclave of Gaza.
5,NEGATIVE,0.11663614958524704,The horror video then cut to images of what the terrorists claimed was Marciano's dead body.
6,NEGATIVE,0.17249447107315063,Still pictures showed a young woman with similar features to Marciano laying with her eyes closed on a blood-stained bedsheet.
7,NEGATIVE,0.1292308121919632,Another image showed a bloody head wound.
8,NEGATIVE,0.15928424894809723,"A caption claimed Marciano was killed ""in an airstrike by the Zionist enemy"" last Thursday."
9,NEGATIVE,0.1421293020248413,"Israel's military has now confirmed Marciano's death, recognising her as a ""fallen soldier held captive by a terror group""."
10,POSITIVE,0.7349051833152771,"They made no comment on the circumstances of her death other than to describe her as an ""abductee fatality in the hands of a terrorist organisation""."
11,NEUTRAL,0.686849057674408,The military statement said Marciano had served as a conscripted private in the border defence corps.
12,NEUTRAL,0.4369533658027649,It appears to be the first time Israel has confirmed such a claim by Hamas.
13,NEGATIVE,0.040495552122592926,The terror group has previously alleged that dozens of its hostages died or were missing due to the ensuing Gaza war.
14,NEGATIVE,0.027370044961571693,News of Marciano's tragic death comes as Israeli forces gear up to storm Hamas' tunnel network and rescue the 239 missing people being held captive by the terrorists.
15,NEGATIVE,0.23823665082454681,"Gershon Baskin, who oversaw the last hostage exchange with Hamas in 2011, claimed on Tuesday morning that IDF troops could raid the terrorists' underground maze in a matter of hours."
16,POSITIVE,0.8525423407554626,The negotiating expert warned Hamas might kill the hostages in response.
17,NEUTRAL,0.4918893277645111,"He told The Times: ""Within the next few days or even hours, if there isn’t a deal for the release of hostages by agreement, military operations to go into the places hostages might be held will begin."
